batter,Runs,Balls,Innings,Fours,Sixes,Strike rate
V Kohli,8004,6065,244,706,273,131.97
S Dhawan,6769,5324,221,768,153,127.14
RG Sharma,6628,5054,251,599,281,131.14
DA Warner,6565,4697,184,663,236,139.77
SK Raina,5528,4043,200,506,203,136.73
MS Dhoni,5243,3812,228,363,252,137.54
AB de Villiers,5162,3403,170,413,251,151.69
CH Gayle,4965,3333,141,405,357,148.96
RV Uthappa,4952,3799,197,481,182,130.35
KD Karthik,4842,3577,233,466,161,135.36
KL Rahul,4683,3479,122,400,187,134.61
AM Rahane,4642,3761,171,479,103,123.42
F du Plessis,4571,3352,138,422,166,136.37
SV Samson,4419,3180,162,352,206,138.96
AT Rayudu,4348,3409,185,359,173,127.54
G Gambhir,4217,3404,151,492,59,123.88
SR Watson,3874,2809,141,376,190,137.91
MK Pandey,3850,3179,158,335,110,121.11
SA Yadav,3594,2473,135,385,130,145.33
JC Buttler,3582,2428,106,356,161,147.53
KA Pollard,3412,2316,168,218,223,147.32
RR Pant,3284,2205,110,297,154,148.93
Shubman Gill,3216,2370,99,310,95,135.7
YK Pathan,3204,2241,153,262,159,142.97
Q de Kock,3157,2352,107,316,123,134.23
SS Iyer,3127,2453,114,271,113,127.48
RA Jadeja,2959,2280,180,215,107,129.78
WP Saha,2934,2300,143,296,87,127.57
DA Miller,2924,2100,123,207,134,139.24
BB McCullum,2880,2186,109,293,130,131.75
PA Patel,2848,2358,136,365,49,120.78
GJ Maxwell,2771,1768,128,233,160,156.73
Yuvraj Singh,2750,2120,126,217,149,129.72
V Sehwag,2728,1755,104,334,106,155.44
MA Agarwal,2661,2000,121,263,98,133.05
Ishan Kishan,2644,1946,99,255,119,135.87
N Rana,2636,1952,101,234,132,135.04
M Vijay,2619,2150,105,247,91,121.81
HH Pandya,2525,1734,128,189,136,145.62
SPD Smith,2485,1940,93,225,60,128.09
AD Russell,2484,1420,104,170,209,174.93
SE Marsh,2477,1866,69,266,78,132.74
JH Kallis,2427,2222,95,255,44,109.23
DR Smith,2385,1764,88,245,117,135.2
RD Gaikwad,2380,1739,65,217,91,136.86
SR Tendulkar,2334,1948,78,296,29,119.82
RA Tripathi,2236,1605,93,223,84,139.31
R Dravid,2174,1882,82,269,28,115.52
KS Williamson,2128,1694,76,186,64,125.62
AJ Finch,2091,1631,90,214,78,128.2
AC Gilchrist,2069,1495,80,239,92,138.39
JP Duminy,2029,1636,75,126,79,124.02
MEK Hussey,1977,1612,58,198,52,122.64
PP Shaw,1892,1283,79,238,61,147.47
MP Stoinis,1866,1314,88,150,91,142.01
DPMD Jayawardene,1802,1462,78,200,39,123.26
N Pooran,1769,1090,72,113,127,162.29
Mandeep Singh,1706,1388,97,176,38,122.91
MK Tiwary,1695,1449,83,156,40,116.98
KC Sangakkara,1687,1392,68,195,27,121.19
AR Patel,1653,1263,112,107,79,130.88
KH Pandya,1647,1240,107,144,61,132.82
YBK Jaiswal,1607,1067,52,199,64,150.61
JM Bairstow,1589,1100,50,166,69,144.45
DJ Bravo,1560,1204,110,120,66,129.57
D Padikkal,1559,1266,64,170,42,123.14
NV Ojha,1554,1313,94,121,79,118.35
SP Narine,1534,925,106,164,97,165.84
S Dube,1502,1024,61,86,101,146.68
KK Nair,1496,1171,68,161,39,127.75
SS Tiwary,1494,1244,73,111,50,120.1
DJ Hooda,1465,1131,96,96,61,129.53
S Badrinath,1441,1212,65,154,28,118.89
EJG Morgan,1405,1146,74,112,64,122.6
BJ Hodge,1400,1118,63,122,43,125.22
Abhishek Sharma,1377,887,61,128,73,155.24
SC Ganguly,1349,1263,56,137,42,106.81
CA Lynn,1329,945,42,132,66,140.63
VR Iyer,1326,967,49,121,61,137.13
DJ Hussey,1322,1075,61,90,60,122.98
SO Hetmyer,1243,812,65,76,82,153.08
KM Jadhav,1208,981,81,102,40,123.14
R Parag,1173,868,58,84,60,135.14
MM Ali,1162,821,57,95,67,141.53
Tilak Varma,1156,790,38,90,58,146.33
TM Dilshan,1153,1007,50,140,24,114.5
IK Pathan,1139,946,82,87,37,120.4
V Shankar,1115,859,58,80,45,129.8
ML Hayden,1107,805,32,121,44,137.52
M Vohra,1083,829,51,104,43,130.64
LMP Simmons,1079,852,29,109,44,126.64
B Sai Sudharsan,1034,743,25,95,32,139.17
LRPL Taylor,1017,822,54,66,46,123.72
R Tewatia,1013,752,65,84,47,134.71
KP Pietersen,1001,743,36,91,40,134.72
MC Henriques,1000,788,54,87,28,126.9
AK Markram,995,767,42,73,35,129.73
H Klaasen,993,590,32,56,64,168.31
Y Venugopal Rao,985,836,52,77,37,117.82
A Symonds,974,750,36,74,41,129.87
JA Morkel,974,686,67,61,55,141.98
CL White,954,755,45,76,36,126.36
LS Livingstone,939,578,39,66,66,162.46
BA Stokes,935,698,43,81,32,133.95
