bowler,Wickets,Balls,Conceded,Matches,Economy
YS Chahal,205,3521,4602,159,7.84
PP Chawla,192,3850,5108,191,7.96
DJ Bravo,183,3120,4360,158,8.38
B Kumar,181,3910,4929,176,7.56
SP Narine,180,4075,4571,175,6.73
R Ashwin,180,4524,5369,208,7.12
A Mishra,174,3371,4145,162,7.38
SL Malinga,170,2828,3364,122,7.14
JJ Bumrah,165,3053,3715,133,7.3
RA Jadeja,160,3829,4864,211,7.62
Harbhajan Singh,150,3416,4030,160,7.08
Rashid Khan,149,2859,3252,121,6.82
UT Yadav,144,3051,4316,147,8.49
Sandeep Sharma,137,2822,3709,126,7.89
HV Patel,135,2162,3148,103,8.74
MM Sharma,132,2253,3256,111,8.67
Mohammed Shami,127,2427,3411,110,8.43
AR Patel,123,3099,3758,148,7.28
TA Boult,121,2337,3230,103,8.29
K Rabada,117,1820,2568,80,8.47
AD Russell,115,1697,2646,112,9.36
A Nehra,106,1908,2495,88,7.85
R Vinay Kumar,105,2121,2966,104,8.39
Z Khan,102,2200,2782,99,7.59
JD Unadkat,99,2131,3189,104,8.98
DW Steyn,97,2176,2508,95,6.92
CH Morris,95,1720,2295,81,8.01
SN Thakur,94,1866,2869,92,9.23
Mohammed Siraj,93,1958,2822,93,8.65
SR Watson,92,2029,2682,105,7.93
I Sharma,92,2309,3172,110,8.24
P Kumar,90,2524,3251,119,7.73
RP Singh,90,1775,2338,82,7.9
PP Ojha,89,1899,2332,90,7.37
Kuldeep Yadav,87,1746,2388,82,8.21
DS Kulkarni,86,1787,2474,92,8.31
JA Morkel,85,1723,2359,87,8.21
CV Varun,83,1590,2000,70,7.55
Imran Tahir,82,1316,1703,59,7.76
IK Pathan,80,2043,2649,101,7.78
M Morkel,77,1629,2089,70,7.69
DL Chahar,77,1669,2221,81,7.98
KH Pandya,76,2122,2606,117,7.37
L Balaji,76,1512,2028,73,8.05
KV Sharma,76,1495,2087,82,8.38
Arshdeep Singh,76,1364,2052,65,9.03
RD Chahar,75,1664,2141,77,7.72
MM Patel,74,1355,1698,63,7.52
KK Ahmed,74,1276,1881,57,8.84
Avesh Khan,74,1335,1974,62,8.87
R Bhatia,71,1636,2020,91,7.41
MJ McClenaghan,71,1274,1803,56,8.49
AB Dinda,69,1516,2073,75,8.2
KA Pollard,69,1488,2180,107,8.79
T Natarajan,67,1337,1969,61,8.84
SK Trivedi,65,1506,1904,75,7.59
JH Kallis,65,1742,2293,89,7.9
HH Pandya,64,1418,2150,93,9.1
M Muralitharan,63,1524,1696,66,6.68
Shakib Al Hasan,63,1484,1839,70,7.44
Ravi Bishnoi,63,1411,1836,65,7.81
PJ Cummins,63,1319,1923,58,8.75
Mustafizur Rahman,61,1299,1761,57,8.13
MG Johnson,61,1232,1702,54,8.29
A Nortje,60,1054,1574,46,8.96
JP Faulkner,59,1227,1778,60,8.69
S Kaul,58,1209,1739,55,8.63
SM Curran,58,1181,1900,58,9.65
SK Warne,57,1194,1447,54,7.27
JO Holder,53,995,1461,46,8.81
S Gopal,52,991,1349,51,8.17
MA Starc,51,831,1137,39,8.21
M Prasidh Krishna,49,1146,1702,51,8.91
JC Archer,48,947,1169,40,7.41
S Nadeem,48,1415,1784,70,7.56
NM Coulter-Nile,48,857,1100,38,7.7
SB Jakati,47,1085,1451,57,8.02
TG Southee,47,1206,1742,54,8.67
LH Ferguson,46,955,1426,45,8.96
A Kumble,45,965,1058,42,6.58
RJ Harris,45,832,1047,37,7.55
S Aravind,45,760,1039,38,8.2
VR Aaron,44,994,1481,50,8.94
MP Stoinis,43,803,1274,62,9.52
YK Pathan,42,1147,1415,82,7.4
MC Henriques,42,950,1289,60,8.14
AJ Tye,42,685,978,30,8.57
TU Deshpande,42,774,1242,36,9.63
R Sharma,40,928,1086,44,7.02
Iqbal Abdulla,40,920,1109,48,7.23
S Sreesanth,40,880,1194,44,8.14
P Awana,39,747,1029,33,8.27
DT Christian,38,883,1192,49,8.1
PJ Sangwan,38,856,1240,42,8.69
DE Bollinger,37,576,693,27,7.22
Washington Sundar,37,1054,1325,58,7.54
GJ Maxwell,37,944,1303,79,8.28
MR Marsh,37,560,795,34,8.52
MS Gony,37,888,1287,44,8.7
M Markande,37,720,1069,37,8.91
Yuvraj Singh,36,869,1077,73,7.44
MM Ali,35,758,893,52,7.07
WD Parnell,35,723,937,33,7.78
M Ashwin,35,870,1162,44,8.01
JR Hazlewood,35,603,810,27,8.06
PWH de Silva,35,552,748,26,8.13
P Negi,34,716,939,42,7.87
M Pathirana,34,451,592,20,7.88
KK Cooper,33,576,757,25,7.89
R Tewatia,32,843,1111,52,7.91
M Kartik,31,1149,1388,55,7.25
NLTC Perera,31,698,1016,36,8.73
Shivam Mavi,30,649,942,32,8.71
CR Woakes,30,440,658,21,8.97
CJ Jordan,30,668,1070,34,9.61
Azhar Mahmood,29,537,700,23,7.82
A Zampa,29,419,558,20,7.99
AB Agarkar,29,782,1151,42,8.83
Umran Malik,29,494,771,26,9.36
DL Vettori,28,777,879,34,6.79
DP Nannes,28,646,785,29,7.29
PV Tambe,28,660,853,33,7.75
A Singh,28,473,620,23,7.86
BA Stokes,28,689,992,38,8.64
Yash Dayal,28,578,919,28,9.54
MF Maharoof,27,420,520,20,7.43
Harmeet Singh,27,549,731,28,7.99
AD Mathews,27,791,1079,44,8.18
Mohsin Khan,27,486,689,23,8.51
DR Smith,26,539,810,46,9.02
J Botha,25,694,800,34,6.92
SK Raina,25,908,1118,69,7.39
B Lee,25,875,1095,38,7.51
M Theekshana,25,624,797,27,7.66
Harpreet Brar,25,679,895,39,7.91
R Dhawan,25,662,891,36,8.08
L Ngidi,25,324,448,14,8.3
Harshit Rana,25,385,581,19,9.05
Naveen-ul-Haq,25,388,590,17,9.12
Noor Ahmad,24,492,659,23,8.04
AS Rajpoot,24,530,813,29,9.2
Yash Thakur,24,404,691,19,10.26
Mukesh Kumar,24,399,694,20,10.44
JP Duminy,23,678,834,49,7.38
GB Hogg,23,458,570,21,7.47
SW Tait,23,473,640,21,8.12
Navdeep Saini,23,646,940,31,8.73
Sohail Tanvir,22,247,266,11,6.46
STR Binny,22,594,758,63,7.66
BW Hilfenhaus,22,372,479,17,7.73
Basil Thampi,22,521,846,25,9.74
RE van der Merwe,21,443,498,21,6.74
K Gowtham,21,588,808,35,8.24
VY Mahesh,21,339,499,17,8.83
Shahbaz Ahmed,21,537,837,42,9.35
AS Joseph,21,434,691,22,9.55
A Symonds,20,527,674,30,7.67
C Sakariya,20,426,599,19,8.44
M Jansen,20,451,714,21,9.5
AD Mascarenhas,19,308,356,13,6.94
Mujeeb Ur Rahman,19,434,592,19,8.18
KW Richardson,19,335,472,15,8.45
J Suchith,19,420,602,21,8.6
JP Behrendorff,19,366,552,17,9.05
VG Arora,19,384,585,20,9.14
RP Meredith,19,388,612,18,9.46
Akash Madhwal,19,262,424,13,9.71
WPUJC Vaas,18,282,355,13,7.55
IC Pandey,18,462,591,24,7.68
CH Gayle,18,554,729,38,7.9
NT Ellis,18,354,508,16,8.61
A Ashish Reddy,18,262,396,20,9.07
Anureet Singh,18,412,623,22,9.07
BB Sran,18,483,757,24,9.4
CRD Fernando,17,234,298,10,7.64
BJ Hodge,17,234,303,20,7.77
Bipul Sharma,17,426,572,28,8.06
D Wiese,16,296,440,15,8.92
C Green,16,439,664,29,9.08
Mukesh Choudhary,16,279,451,14,9.7
MJ Santner,15,366,422,18,6.92
Mohammad Nabi,15,417,517,23,7.44
RG Sharma,15,339,453,32,8.02
LR Shukla,15,314,447,27,8.54
YA Abdulla,15,209,307,11,8.81
Kartik Tyagi,15,422,713,20,10.14
R Rampaul,14,262,298,12,6.82
AC Thomas,14,315,406,15,7.73
DR Sams,14,360,523,16,8.72
JR Hopes,14,360,548,20,9.13
SJ Srivastava,14,282,441,14,9.38
KR Sen,14,241,387,12,9.63
CK Langeveldt,13,156,187,7,7.19
RR Powar,13,426,527,26,7.42
ST Jayasuriya,13,294,390,21,7.96
R Sai Kishore,13,186,258,10,8.32
S Lamichhane,13,210,292,9,8.34
CR Brathwaite,13,254,379,16,8.95
G Coetzee,13,201,341,10,10.18
Vijaykumar Vyshak,13,231,395,11,10.26
TK Curran,13,238,430,13,10.84
GD McGrath,12,324,357,14,6.61
Ankit Sharma,12,367,450,21,7.36
BA Bhatt,12,296,397,15,8.05
Umar Gul,12,135,184,6,8.18
AN Ahmed,12,344,498,17,8.69
VRV Singh,12,360,542,18,9.03
R McLaren,12,354,542,18,9.19
Karanveer Singh,12,204,321,9,9.44
Joginder Sharma,12,256,419,15,9.82
A Chandila,11,234,242,12,6.21
SM Pollock,11,276,301,13,6.54
S Badree,11,258,319,12,7.42
AB McDonald,11,186,261,10,8.42
RS Bopara,11,206,292,14,8.5
